Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Class,who,adult_male,Cabin,embark_town,alive,alone
0,3,male,22.0,1,0,7.25,S,Third,man,True,Unknown,Southampton,no,False
1,1,female,38.0,1,0,71.28,C,First,woman,False,C,Cherbourg,yes,False
1,3,female,26.0,0,0,7.92,S,Third,woman,False,Unknown,Southampton,yes,True
1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False
0,3,male,35.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,29.9,0,0,8.46,Q,Third,man,True,Unknown,Queenstown,no,True
0,1,male,54.0,0,0,51.86,S,First,man,True,E,Southampton,no,True
0,3,male,2.0,3,1,21.08,S,Third,child,False,Unknown,Southampton,no,False
1,3,female,27.0,0,2,11.13,S,Third,woman,False,Unknown,Southampton,yes,False
1,2,female,14.0,1,0,30.07,C,Second,child,False,Unknown,Cherbourg,yes,False
1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False
1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True
0,3,male,20.0,0,0,8.05,S,Third,man,True,Unknown,Southampton,no,True
0,3,male,39.0,1,5,31.28,S,Third,man,True,Unknown,Southampton,no,False
0,3,female,14.0,0,0,7.85,S,Third,child,False,Unknown,Southampton,no,True
1,2,female,55.0,0,0,16.0,S,Second,woman,False,Unknown,Southampton,yes,True
0,3,male,2.0,4,1,29.12,Q,Third,child,False,Unknown,Queenstown,no,False
1,2,male,29.9,0,0,13.0,S,Second,man,True,Unknown,Southampton,yes,True
0,3,female,31.0,1,0,18.0,S,Third,woman,False,Unknown,Southampton,no,False
1,3,female,29.9,0,0,7.22,C,Third,woman,False,Unknown,Cherbourg,yes,True
0,2,male,35.0,0,0,26.0,S,Second,man,True,Unknown,Southampton,no,True
1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True
1,3,female,15.0,0,0,8.03,Q,Third,child,False,Unknown,Queenstown,yes,True
1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True
0,3,female,8.0,3,1,21.08,S,Third,child,False,Unknown,Southampton,no,False
1,3,female,38.0,1,5,31.39,S,Third,woman,False,Unknown,Southampton,yes,False
0,3,male,29.9,0,0,7.22,C,Third,man,True,Unknown,Cherbourg,no,True
0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False
1,3,female,29.9,0,0,7.88,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,3,male,29.9,0,0,7.9,S,Third,man,True,Unknown,Southampton,no,True
0,1,male,40.0,0,0,27.72,C,First,man,True,Unknown,Cherbourg,no,True
1,1,female,29.9,1,0,146.52,C,First,woman,False,B,Cherbourg,yes,False
1,3,female,29.9,0,0,7.75,Q,Third,woman,False,Unknown,Queenstown,yes,True
0,2,male,66.0,0,0,10.5,S,Second,man,True,Unknown,Southampton,no,True
0,1,male,28.0,1,0,82.17,C,First,man,True,Unknown,Cherbourg,no,False
0,1,male,42.0,1,0,52.0,S,First,man,True,Unknown,Southampton,no,False
